Título,Textos em Itálico
É #FAKE que piloto do helicóptero militar que colidiu com avião em Washington era uma mulher trans,"US Mídia: O piloto do helicóptero militar Black Hawk que colidiu com um avião de passageiros em Washington era um transgênero anti-Trumpista. A mídia relata que o piloto Joe Ellis se manifestou contra a ordem executiva de Trump que proíbe pessoas transgênero de servir nas Forças Armadas depois que o presidente dos EUA anunciou sua intenção de fortalecer os padrões de voo e abandonar a política inclusiva
""Aparentemente o piloto do helicóptero era trans"".
""O que sabemos: O piloto do helicóptero era uma mulher asiática trans deficiente"".
""Jo Ellis, uma piloto de helicóptero da Guarda Nacional do Exército da Virgínia, foi falsamente identificada como capitã do helicóptero Black Hawk [...] em milhares de postagens nas redes sociais nesta semana. A onda de falsidades foi tão extrema, que a Srta. Ellis, que é transgênero, postou um vídeo de 'prova de vida' no Facebook esclarecendo que está viva e não havia pilotado o helicóptero envolvido no acidente"".
""As falsidades, que tentaram vincular a identidade transgênero da Srta. Ellis à tragédia, se espalharam on-line logo após o presidente Trump e seus aliados tentarem vincular o acidente em Washington aos chamados programas D.E.I., uma série de iniciativas destinadas a impulsionar a diversidade, a equidade e a inclusão no local de trabalho. Não há evidências de que tais programas tenham desempenhado qualquer papel no acidente""
VEJA
outras checagens feitas pela equipe do FATO ou FAKE
Adicione nosso número de WhatsApp
+55 (21) 97305-9827
(após adicionar o número, mande uma saudação para ser inscrito)"
Título não encontrado,Nenhum texto em itálico encontrado
É #FAKE que Trump disse que se negaria a fazer negócios com Brasil enquanto Lula estiver no poder,"""Trump declarou que não fará negócios com o Brasil enquanto Lula estiver no poder"".
""Sempre gostei do Brasil. É um país incrível, com pessoas fantásticas, mas vou ser direto: com a esquerda no poder, criando confusão atrás de confusão, não dá para fazer negócios como antes. Não sou muito fã do Lula, e ele também não é muito fã de mim, tanto que declarou apoio à Kamala [Harris] publicamente.""
""Todos sabem que Jair Bolsonaro é meu amigo, um verdadeiro patriota, alguém que realmente trabalha pelo povo e que deveria estar à frente do Brasil. Enquanto ele não estiver lá [no Planalto], não dá para contar com o país para parcerias econômicas ou grandes projetos.""
""Então, estou dizendo agora: quando o Brasil voltar para o caminho certo, e acredito que Bolsonaro vai fazer isso, aí, sim, vamos falar de parcerias, de um futuro próspero. Até lá, é esperar e torcer para que o Brasil recupere sua força e seu verdadeiro espírito.""
Trump Will Fix It""
""Donald Trump vence a eleição estadunidense e manda um recado para o Brasil: 'Com o Lula eu não negocio'""
VEJA
outras checagens feitas pela equipe do FATO ou FAKE
Adicione nosso número de WhatsApp
+55 (21) 97305-9827

(após adicionar o número, mande uma saudação para ser inscrito)"
É #FAKE que vídeo de caminhão basculante descarregando cadáveres foi gravado na Venezuela,"Olha o que o Maduro faz com os opositores.
Uma bela democracia igual à do Lula, é isso o que pode ocorrer aqui no Brasil!!!
""Vamos fazer esse vídeo chegar para o Trump!!""
Tem que auxiliar com mecanismo de ações em pontos estratégicos esse país e trucidar também quem manda fazer isso
(veja abaixo)
(veja abaixo)
'Não são 18, são 23', a identificação dos corpos levados em caminhão basculante levará dias: combates em Putumayo
(veja abaixo)
VEJA
outras checagens feitas pela equipe do FATO ou FAKE
Adicione nosso número de WhatsApp
+55 (21) 97305-9827
(após adicionar o número, mande uma saudação para ser inscrito)"
É #FAKE que g1 publicou reportagens sobre concurso do Banco do Brasil perto do fim das inscrições; trata-se de golpe,"Último dia para se inscrever no concurso do Banco do Brasil: Salários de até R$ 21.432,28 e provas fáceis!
Inscrições para o concurso do Banco do Brasil estão quase encerando: vagas em todos os estados
""Tem interesse no concurso do Banco do Brasil e está com algumas dúvidas? Então, fica ligado nesse vídeo, eu vou tirar várias dúvidas para você. Sim, sairá um novo concurso do Banco do Brasil. As inscrições já começaram, e as vagas já estão acabando. Para se inscrever e não perder o concurso, acesse o botão aqui embaixo""
Voltar ao início
Voltar ao início
Voltar ao início
Voltar ao início
Voltar ao início
VEJA
outras checagens feitas pela equipe do FATO ou FAKE
Adicione nosso número de WhatsApp
+55 (21) 97305-9827
(após adicionar o número, mande uma saudação para ser inscrito)"
Título não encontrado,Nenhum texto em itálico encontrado
É #FAKE foto que mostra serviço de imigração dos EUA prendendo homem com a inscrição 'Latinos for Trump 2024' na camiseta,"""Quando a barata vota no inseticida""
""Uma imagem vale mais do que mil palavras!! E nem é meme!!""
(compare no final desta reportagem)
""ICE realiza sua maior operação de imigração na história recente, prendendo 146""
Adicione nosso número de WhatsApp
+55 (21) 97305-9827
(após adicionar o número, mande uma saudação para ser inscrito)"
É #FAKE que o Itaú Unibanco processou Ronaldo por fala sobre criptomoedas na TV,"""O Itaú processa Ronaldo que disse ao vivo na TV""
""Se não acredita, vou provar, me dê R$ 1.600 e com esta plataforma farei R$ 1 milhão em apenas 12 a 15 semanas"".
(veja detalhes na imagem abaixo)
VEJA
outras checagens feitas pela equipe do FATO ou FAKE
Adicione nosso número de WhatsApp
+55 (21) 97305-9827
(após adicionar o número, mande uma saudação para ser inscrito)"
Título não encontrado,Nenhum texto em itálico encontrado
É #FAKE que g1 publicou que Receita Federal faz leilão de smartphones e eletrodomésticos com lance fixo; trata-se de golpe,"""Leilão eletrônico da Receita Federal de 2025 oferece smartphones e eletrodomésticos com preços baixos""
VEJA
outras checagens feitas pela equipe do FATO ou FAKE
Adicione nosso número de WhatsApp
+55 (21) 97305-9827
(após adicionar o número, mande uma saudação para ser inscrito)"
É #FAKE que o governo brasileiro comprou o Globo de Ouro para Fernanda Torres,"""Eu tenho um babado para te contar. Escuta essa: a bonita pediu para a meretriz que está no governo comprar para ela um Globo de Ouro. Aí, eu te pergunto: Quanto custa um Globo de Ouro? [...] Porque você pagou por ele, afinal. Eles não têm dinheiro nenhum, todo o dinheiro que eles usam é o seu dinheiro. [...] Aí, você diz assim: 'Safada, com o meu dinheiro!'. Porque foi assim que aconteceu"".
""Quando a gente acha que já viu tudo nesse governo, a gente só vê que está apenas começando. Isso vai dar tanto que falar. Ah, eu quero só saber quando a segunda, que ficou lá, a segunda colocada..."".
Adicione nosso número de WhatsApp
+55 (21) 97305-9827
(após adicionar o número, mande uma saudação para ser inscrito)"
É #FAKE foto de Trump ao lado de cadeira com nome de Bolsonaro; imagem é de inteligência artificial,"""A ausência de Bolsonaro na posse de Trump está causando mais impacto mundial do que se ele estivesse presente.""
""'The New York Times', 'The Washington Post', 'The Guardian' e 'El País' noticiaram a decisão de Alexandre de Moraes de vetar ida de Bolsonaro aos EUA. Bolsonaro acredita que Trump pode impulsionar mudanças na política brasileira - e torná-lo um 'homem livre' e elegível em 2026. Tomara!"".
""Falta de Bolsonaro para posse de Trump está causando comoção mundial. Ajudem a compartilhar isso!"".
VEJA
outras checagens feitas pela equipe do FATO ou FAKE
Adicione nosso número de WhatsApp
+55 (21) 97305-9827
(após adicionar o número, mande uma saudação para ser inscrito)"
Título não encontrado,Nenhum texto em itálico encontrado
Título não encontrado,Nenhum texto em itálico encontrado
É #FAKE que 'Ainda estou aqui' recebeu recursos da Lei Rouanet,"️""Só de Lei Rouanet aí contei uns 3 orçamentos na saúde, uns 7 na educação uns 3 em saneamento básico. Mas calma aí que temos que estar felizes por eles estarem recebendo créditos em cima da desgraça do brasileiro [...]"", diz uma publicação no X.
Outro comentário afirma: ""Pode ficar tranquilo, painho lulis já comprou tudo, só buscar o caneco, afinal ele despejou bilhões em 2 anos para os galáticos artistas ruanet, e o podre nessa história que se lasque, pobre vai ficar olhando pela tv 📺[...]"".
VEJA
outras checagens feitas pela equipe do FATO ou FAKE
Adicione nosso número de WhatsApp
+55 (21) 97305-9827
(após adicionar o número, mande uma saudação para ser inscrito)"
É #FAKE que o governo federal tenha programa de descontos do IPVA para motoristas sem multas,"""Não pague o IPVA 2025 sem antes saber disso"".
""Você pode ganhar 10% de desconto se não cometer infrações no ano anterior, 15% se não cometeu infrações nos últimos dois anos, e 20% se não cometeu infrações nos últimos três anos"".
""Você deve obrigatoriamente entrar na sua carteira digital, acessar a seção de 'Condutor', clicar em 'Condutor' e ativar o cadastro positivo. Depois, é só autorizar a participação. Pronto! A partir desse momento, você já autoriza e está apto a concorrer""
VEJA
outras checagens feitas pela equipe do FATO ou FAKE
Adicione nosso número de WhatsApp
+55 (21) 97305-9827

(após adicionar o número, mande uma saudação para ser inscrito)"
É #FAKE que Instagram forçou usuários a seguirem contas de Trump e de seu vice,"Gente! Fiquem atentos! O Instagram está forçando as pessoas que tem perfil a seguir o VP e o Trump. Verifiquem os perfis de vocês!
""Simplesmente a
Meta
fez eu - e vários amigos - seguirmos o vice de Trump!!! Isso é absurdo.
O Instagram simplesmente colocando todas as contas com relevância para seguir, coercitivamente, o perfil do Donald Trump e o vice. Vocês têm noção do que está acontecendo dois dias pós a posse desse lixo? As bigs techs vão entrar pesado nesse governo.
Que merda é essa que a meta tá fazendo geral seguir o Trump e o vice dele automaticamente no Instagram! Já até dei unfollow
Adicione nosso número de WhatsApp
+55 (21) 97305-9827
(após adicionar o número, mande uma saudação para ser inscrito)"
É #FAKE página que imita g1 e anuncia leilão de produtos importados na Amazon,"""Amazon Inova: Leilão de Produtos Importados com Lance Fixo Surpreende Consumidores""
(veja mais abaixo)
VEJA
outras checagens feitas pela equipe do FATO ou FAKE
Adicione nosso número de WhatsApp
+55 (21) 97305-9827
(após adicionar o número, mande uma saudação para ser inscrito)"
É #FAKE que vídeo que mostra tentativa de invasão de imigrantes nos EUA foi feito após posse de Trump; imagens são de 2023,"""Tempestade perfeita: mais de 1 mil migrantes se aproximam da fronteira dos EUA, após forçar o caminho do bloqueio mexicano...""
""⚠️ #ULTIMAHORA | Pelo menos 1000 migrantes acabaram de ultrapassar a barreira @GN_MEXICO_ em Ciudad Juárez. Eles se dirigem ao posto de controle de El Paso Texas com o objetivo de entrar à força nos
Estados Unidos
porque o aplicativo CBP One estava fora de serviço.""
VEJA
outras checagens feitas pela equipe do FATO ou FAKE
Adicione nosso número de WhatsApp
+55 (21) 97305-9827
(após adicionar o número, mande uma saudação para ser inscrito)"
É #FAKE vídeo de Haddad dizendo que vai aumentar impostos dos mais pobres,"""Eu gosto de taxar os pobres. Não vou mentir para você que 98% da população brasileira é pobre. Como a gente só tem 2% de milionários, eu não acho justo taxar essa pouca quantidade de milionário, sendo que a gente tem 98% de pobres no Brasil"".
""Então, se a gente taxar todos os pobres, vai ter mais lucro para o nosso governo do que se a gente taxar todos os ricos. Então, vamos aumentar o imposto, não dá nada. O brasileiro só vai dar a reclamada no começo, mas depois eles param de encher o saco, entendeu?"" .
""A gente pode aumentar um pouco o imposto das carnes. O brasileiro pode comer fígado, pé de galinha, uma asinha, esses daí não vão subir tanto. Como nosso presidente falou, infelizmente, o grosso está entrando. E, se não tiver condições para comprar uma carne, compre uma abóbora, e a vida segue"".

""[Eu e Lula] Falamos sobre vários assuntos. Expus a ele a situação da reforma tributária, o estado da arte, o que está para ser decidido pela Câmara agora em caráter definitivo. Também tratamos das questões das medidas fiscais [...]. E alguns projetos das reformas microeconômicas que precisam ser votados em série nesta semana"".
""alterações perceptíveis na movimentação labial e discrepâncias no timbre de voz típicas de conteúdos forjados com o uso de inteligência artificial generativa"".
VEJA
outras checagens feitas pela equipe do FATO ou FAKE
Adicione nosso número de WhatsApp
+55 (21) 97305-9827
(após adicionar o número, mande uma saudação para ser inscrito)"
É #FAKE que Trump voltou a considerar proibição de voos do Brasil para os EUA; vídeo é de 2020,"VEJA
outras checagens feitas pela equipe do FATO ou FAKE
Adicione nosso número de WhatsApp
+55 (21) 97305-9827
(após adicionar o número, mande uma saudação para ser inscrito)"
É #FAKE página que imita g1 e fornece link para cadastro no programa Voa Brasil,"""Últimos dias para se cadastrar no Programa Voa Brasil; veja como participar""
""Programa oferece passagens aéreas com preços reduzidos para brasileiros""

""o Programa Voa Brasil está em seus últimos dias de inscrição. Esta é uma oportunidade única para brasileiros viajarem pelo país com passagens aéreas a preços reduzidos""
""não é cobrada qualquer taxa para cadastro ou adesão ao programa""
""forneçam dados pessoais, ou realize pagamentos em sites, ou links não oficiais"".
""O programa se chama Voa Brasil e já está disponível. Para se cadastrar, é só acessar o site que vamos deixar aqui embaixo desse vídeo, informar seus dados e pagar a taxa de adesão da Agência Nacional de Aviação Civil. E, aí, o acesso ao aplicativo já vai ser liberado, e o cidadão já poderá comprar até quatro passagens. E está ameaçando o financiamento por apenas R$ 200"".
""o programa se chama Voa Brasil e já está disponível"",
""
O primeiro estágio do programa terá como foco atender aposentados que ganham até dois salários mínimos""
.

VEJA
outras checagens feitas pela equipe do FATO ou FAKE
Adicione nosso número de WhatsApp
+55 (21) 97305-9827
(após adicionar o número, mande uma saudação para ser inscrito)"
"É #FAKE que, a partir de janeiro de 2025, quem dirige carro automático precisa mudar carteira de motorista","A partir de janeiro de 2025, quem dirige carro automático terá que ter a Carteira Nacional de Habilitação (CNH) na categoria B1
Adicione nosso número de WhatsApp
+55 (21) 97305-9827
(após adicionar o número, mande uma saudação para ser inscrito)"
É #FAKE que bancos deverão limitar saques em espécie a partir do segundo semestre,"Bancos deverão limitar saques em espécie a partir do segundo semestre
Limite mensal para saques será de 2 mil reais para pessoas físicas e até 5 mil reais para pessoas jurídicas. Governo alega que é pra evitar evasão fiscal
VEJA
outras checagens feitas pela equipe do FATO ou FAKE
Adicione nosso número de WhatsApp
+55 (21) 97305-9827
(após adicionar o número, mande uma saudação para ser inscrito)"
É #FAKE que vídeo de alunos posando com merenda para foto e devolvendo sem comer seja na Venezuela,"""Na Venezuela, nenhum estudante passa fome...todos têm lanche...as fotos estão aí para provar...""
""Na Venezuela de Maduro e Lula, nenhum estudante passa fome...Todos tem lanche...As fotos estão aí para provar... CANALHAS.""
""Enquanto isso na Venezuela de Maduro Já Apodrecido pela corrupção, e logo logo Lularapis Corruptandis implantará no Brasil, nenhum estudante passa fome...Todos terão um prato de comida bem generoso. As fotos estão aí para provar...""
VEJA
outras checagens feitas pela equipe do FATO ou FAKE
Adicione nosso número de WhatsApp
+55 (21) 97305-9827

(após adicionar o número, mande uma saudação para ser inscrito)"
É #FAKE vídeo que mostra Marcos Mion anunciando promoção do Outback; trata-se de um golpe,"""Rodízio Outback para duas pessoas por apenas: R$ 64,90. Em comemoração aos 37 anos do Outback, você pode aproveitar um rodízio para dois por um preço incrível. Isso mesmo que você está vendo! Até algumas sobremesas estão inclusas. Olha essa costela suculenta nova no cardápio te esperando"".
""Ficou com água na boca, né? Tá esperando o quê? Clique em 'Saiba Mais' e aproveite. Eu tô muito dentro!""
Voltar para o início
(veja imagem abaixo).
Voltar para o início
""A assessoria jurídica de Marcos Mion, representada por seu advogado Pedro Fida, vem a público esclarecer informações falsas que têm circulado nas redes sociais envolvendo a imagem do apresentador e uma suposta campanha publicitária do restaurante Outback, que inclui um 'voucher promocional de rodízio'.
Trata-se de um vídeo falso e manipulado, no qual o áudio foi alterado de forma intencional para uma promoção inexistente. Reiteramos que essa suposta ""campanha"" não possui qualquer relação com ações ou publicidades oficiais realizadas por Marcos Mion.
Orientamos o público a desconsiderar e não compartilhar esse tipo de material e reforçamos que medidas legais já estão sendo tomadas para identificar e responsabilizar os responsáveis pela criação e divulgação desse conteúdo.
Reafirmamos nosso compromisso com a transparência e a verdade. Qualquer iniciativa ou campanha vinculada ao nome de Marcos Mion será sempre anunciada por canais oficiais e confiáveis. Agradecemos a compreensão"".
Voltar para o início
""O Outback Steakhouse alerta permanentemente os consumidores sobre golpes que se utilizam do nome da marca para divulgar promoções inexistentes nas redes sociais.
Sempre preocupado com a segurança e proteção dos consumidores, a marca está trabalhando para derrubar os perfis e sites falsos, além de reforçar esse alerta para os clientes.
A marca reitera que utiliza apenas os canais oficiais para comunicar benefícios e promoções, como o site oficial (www.outback.com.br) e os perfis nas redes sociais, que são @OutbackBrasil no Instagram, Facebook, X e Threads e @Outback_Brasil no TikTok. Os perfis são identificados com o selo de verificação azul.
É importante esclarecer que o Outback Steakhouse não solicita códigos, senhas ou transações via PIX. Os pagamentos via PIX acontecem apenas dentro dos restaurantes, nunca pela internet. Para verificar a autenticidade de qualquer comunicação, o Outback orienta que os clientes entrem em contato através do Fale Conosco no site oficial"".
Voltar para o início
VEJA
outras checagens feitas pela equipe do FATO ou FAKE
Adicione nosso número de WhatsApp
+55 (21) 97305-9827
(após adicionar o número, mande uma saudação para ser inscrito)"
É #FAKE página que imita a globo.com e simula entrevista com Rubens Menin,"Adicione nosso número de WhatsApp
+55 (21) 97305-9827
(após adicionar o número, mande uma saudação para ser inscrito)"
É #FAKE vídeo com imagens aéreas que mostram prédios pegando fogo em Los Angeles,"""Momento assustador em Los Angeles, Califórnia, enquanto grande incêndio destrói a cidade""
(veja abaixo)
(veja abaixo)
(veja abaixo)
(veja abaixo)
VEJA
outras checagens feitas pela equipe do FATO ou FAKE
Adicione nosso número de WhatsApp
+55 (21) 97305-9827
(após adicionar o número, mande uma saudação para ser inscrito)"
É #FAKE que o governo federal estuda taxa ambiental veicular,"""Governo estuda taxa ambiental veicular. Governo anuncia nova taxa ambiental para veículos com mais de 20 anos de uso
Adicione nosso número de WhatsApp
+55 (21) 97305-9827
(após adicionar o número, mande uma saudação para ser inscrito)"
É #FAKE que diretor do Hospital das Clínicas deu dicas de como evitar gripe e que Tamiflu é feito de erva-doce,"""Diretor do HC (Hospital das Clínicas) preocupado com a nova gripe, faz as seguintes recomendações: Fazer do álcool gel o nossso aliado. Começar a tomar vitamina C urgente, cuidar das crianças. Lavar as mãos muitas vezes ao dia. evitar locais onde haja multidão; tomar vitamina C; comer fígado de boi; ingerir sucos de acerola e laranja. Tomar chá de erva-doce duas vezes ao dia""
""O chá de erva-doce tem a mesma substância que o medicamento TAMIFLU, o remédio usado para tratar a gripe A - H1N1. Aconselha-se tomar o chá como se fosse café, após as refeições. Um infectologista do hospital São Domingos, recomenda tomar de 12 em 12/horas o chá de erva doce, pois ele mata o vírus da influenza. É da erva-doce que é feito o TAMIFLU""
""* Repasse para seus famíliares e amigos pois é muito importante""
O HCFMUSP esclarece que o texto que recorrentemente circula nas redes sociais, no qual, supostamente, a Diretoria Clínica do hospital faz um alerta sobre a gripe, nunca foi divulgado pela instituição""
""O medicamento Tamiflu®, desenvolvido pela Roche, é composto por fosfato de oseltamivir – princípio ativo que consta em bula aprovada no Brasil pela Agência Nacional de Vigilância Sanitária [Anvisa] –, além de alguns excipientes, que são substâncias complementares à massa ou volume especificados em produtos farmacêuticos. Deste modo, não há, na composição de Tamiflu®, o anis estrelado ou a erva-doce""
VEJA
outras checagens feitas pela equipe do FATO ou FAKE
Adicione nosso número de WhatsApp
+55 (21) 97305-9827
(após adicionar o número, mande uma saudação para ser inscrito)"
É #FAKE vídeo que mostra ondas gigantes no Uruguai em post com alerta de tsunami,"""Atenção, Uruguai! Muitas possibilidades de tsunami. Uma tragédia se aproxima de nosso país vizinho. Atentos""
VEJA
ou
tras checagens feitas pela equipe do FATO ou FAKE
Adicione nosso número de WhatsApp
+55 (21) 97305-9827
(após adicionar o número, mande uma saudação para ser inscrito)"
Título não encontrado,Nenhum texto em itálico encontrado
