Título,Textos em Itálico
É #FAKE que piloto do helicóptero militar que colidiu com avião em Washington era uma mulher trans,us mídia o piloto do helicóptero militar black hawk que colidiu com um avião de passageiros em washington era um transgênero antitrumpista a mídia relata que o piloto joe ellis se manifestou contra a ordem executiva de trump que proíbe pessoas transgênero de servir nas forças armadas depois que o presidente dos eua anunciou sua intenção de fortalecer os padrões de voo e abandonar a política inclusiva aparentemente o piloto do helicóptero era trans o que sabemos o piloto do helicóptero era uma mulher asiática trans deficiente jo ellis uma piloto de helicóptero da guarda nacional do exército da virgínia foi falsamente identificada como capitã do helicóptero black hawk em milhares de postagens nas redes sociais nesta semana a onda de falsidades foi tão extrema que a srta ellis que é transgênero postou um vídeo de prova de vida no facebook esclarecendo que está viva e não havia pilotado o helicóptero envolvido no acidente as falsidades que tentaram vincular a identidade transgênero da srta ellis à tragédia se espalharam online logo após o presidente trump e seus aliados tentarem vincular o acidente em washington aos chamados programas dei uma série de iniciativas destinadas a impulsionar a diversidade a equidade e a inclusão no local de trabalho não há evidências de que tais programas tenham desempenhado qualquer papel no acidente veja outras checagens feitas pela equipe do fato ou fake adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
Título não encontrado,nenhum texto em itálico encontrado
É #FAKE que Trump disse que se negaria a fazer negócios com Brasil enquanto Lula estiver no poder,trump declarou que não fará negócios com o brasil enquanto lula estiver no poder sempre gostei do brasil é um país incrível com pessoas fantásticas mas vou ser direto com a esquerda no poder criando confusão atrás de confusão não dá para fazer negócios como antes não sou muito fã do lula e ele também não é muito fã de mim tanto que declarou apoio à kamala harris publicamente todos sabem que jair bolsonaro é meu amigo um verdadeiro patriota alguém que realmente trabalha pelo povo e que deveria estar à frente do brasil enquanto ele não estiver lá no planalto não dá para contar com o país para parcerias econômicas ou grandes projetos então estou dizendo agora quando o brasil voltar para o caminho certo e acredito que bolsonaro vai fazer isso aí sim vamos falar de parcerias de um futuro próspero até lá é esperar e torcer para que o brasil recupere sua força e seu verdadeiro espírito trump will fix it donald trump vence a eleição estadunidense e manda um recado para o brasil com o lula eu não negocio veja outras checagens feitas pela equipe do fato ou fake adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
É #FAKE que vídeo de caminhão basculante descarregando cadáveres foi gravado na Venezuela,olha o que o maduro faz com os opositores uma bela democracia igual à do lula é isso o que pode ocorrer aqui no brasil vamos fazer esse vídeo chegar para o trump tem que auxiliar com mecanismo de ações em pontos estratégicos esse país e trucidar também quem manda fazer isso veja abaixo veja abaixo não são são a identificação dos corpos levados em caminhão basculante levará dias combates em putumayo veja abaixo veja outras checagens feitas pela equipe do fato ou fake adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
É #FAKE que g1 publicou reportagens sobre concurso do Banco do Brasil perto do fim das inscrições; trata-se de golpe,último dia para se inscrever no concurso do banco do brasil salários de até r e provas fáceis inscrições para o concurso do banco do brasil estão quase encerando vagas em todos os estados tem interesse no concurso do banco do brasil e está com algumas dúvidas então fica ligado nesse vídeo eu vou tirar várias dúvidas para você sim sairá um novo concurso do banco do brasil as inscrições já começaram e as vagas já estão acabando para se inscrever e não perder o concurso acesse o botão aqui embaixo voltar ao início voltar ao início voltar ao início voltar ao início voltar ao início veja outras checagens feitas pela equipe do fato ou fake adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
Título não encontrado,nenhum texto em itálico encontrado
É #FAKE foto que mostra serviço de imigração dos EUA prendendo homem com a inscrição 'Latinos for Trump 2024' na camiseta,quando a barata vota no inseticida uma imagem vale mais do que mil palavras e nem é meme compare no final desta reportagem ice realiza sua maior operação de imigração na história recente prendendo adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
É #FAKE que o Itaú Unibanco processou Ronaldo por fala sobre criptomoedas na TV,o itaú processa ronaldo que disse ao vivo na tv se não acredita vou provar me dê r e com esta plataforma farei r milhão em apenas a semanas veja detalhes na imagem abaixo veja outras checagens feitas pela equipe do fato ou fake adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
Título não encontrado,nenhum texto em itálico encontrado
É #FAKE que g1 publicou que Receita Federal faz leilão de smartphones e eletrodomésticos com lance fixo; trata-se de golpe,leilão eletrônico da receita federal de oferece smartphones e eletrodomésticos com preços baixos veja outras checagens feitas pela equipe do fato ou fake adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
É #FAKE que o governo brasileiro comprou o Globo de Ouro para Fernanda Torres,eu tenho um babado para te contar escuta essa a bonita pediu para a meretriz que está no governo comprar para ela um globo de ouro aí eu te pergunto quanto custa um globo de ouro porque você pagou por ele afinal eles não têm dinheiro nenhum todo o dinheiro que eles usam é o seu dinheiro aí você diz assim safada com o meu dinheiro porque foi assim que aconteceu quando a gente acha que já viu tudo nesse governo a gente só vê que está apenas começando isso vai dar tanto que falar ah eu quero só saber quando a segunda que ficou lá a segunda colocada adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
É #FAKE foto de Trump ao lado de cadeira com nome de Bolsonaro; imagem é de inteligência artificial,a ausência de bolsonaro na posse de trump está causando mais impacto mundial do que se ele estivesse presente the new york times the washington post the guardian e el país noticiaram a decisão de alexandre de moraes de vetar ida de bolsonaro aos eua bolsonaro acredita que trump pode impulsionar mudanças na política brasileira e tornálo um homem livre e elegível em tomara falta de bolsonaro para posse de trump está causando comoção mundial ajudem a compartilhar isso veja outras checagens feitas pela equipe do fato ou fake adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
Título não encontrado,nenhum texto em itálico encontrado
Título não encontrado,nenhum texto em itálico encontrado
É #FAKE que 'Ainda estou aqui' recebeu recursos da Lei Rouanet,️só de lei rouanet aí contei uns orçamentos na saúde uns na educação uns em saneamento básico mas calma aí que temos que estar felizes por eles estarem recebendo créditos em cima da desgraça do brasileiro diz uma publicação no x outro comentário afirma pode ficar tranquilo painho lulis já comprou tudo só buscar o caneco afinal ele despejou bilhões em anos para os galáticos artistas ruanet e o podre nessa história que se lasque pobre vai ficar olhando pela tv 📺 veja outras checagens feitas pela equipe do fato ou fake adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
É #FAKE que o governo federal tenha programa de descontos do IPVA para motoristas sem multas,não pague o ipva sem antes saber disso você pode ganhar de desconto se não cometer infrações no ano anterior se não cometeu infrações nos últimos dois anos e se não cometeu infrações nos últimos três anos você deve obrigatoriamente entrar na sua carteira digital acessar a seção de condutor clicar em condutor e ativar o cadastro positivo depois é só autorizar a participação pronto a partir desse momento você já autoriza e está apto a concorrer veja outras checagens feitas pela equipe do fato ou fake adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
É #FAKE que Instagram forçou usuários a seguirem contas de Trump e de seu vice,gente fiquem atentos o instagram está forçando as pessoas que tem perfil a seguir o vp e o trump verifiquem os perfis de vocês simplesmente a meta fez eu e vários amigos seguirmos o vice de trump isso é absurdo o instagram simplesmente colocando todas as contas com relevância para seguir coercitivamente o perfil do donald trump e o vice vocês têm noção do que está acontecendo dois dias pós a posse desse lixo as bigs techs vão entrar pesado nesse governo que merda é essa que a meta tá fazendo geral seguir o trump e o vice dele automaticamente no instagram já até dei unfollow adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
É #FAKE página que imita g1 e anuncia leilão de produtos importados na Amazon,amazon inova leilão de produtos importados com lance fixo surpreende consumidores veja mais abaixo veja outras checagens feitas pela equipe do fato ou fake adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
É #FAKE que vídeo que mostra tentativa de invasão de imigrantes nos EUA foi feito após posse de Trump; imagens são de 2023,tempestade perfeita mais de mil migrantes se aproximam da fronteira dos eua após forçar o caminho do bloqueio mexicano ⚠️ ultimahora pelo menos migrantes acabaram de ultrapassar a barreira gnmexico em ciudad juárez eles se dirigem ao posto de controle de el paso texas com o objetivo de entrar à força nos estados unidos porque o aplicativo cbp one estava fora de serviço veja outras checagens feitas pela equipe do fato ou fake adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
É #FAKE vídeo de Haddad dizendo que vai aumentar impostos dos mais pobres,eu gosto de taxar os pobres não vou mentir para você que da população brasileira é pobre como a gente só tem de milionários eu não acho justo taxar essa pouca quantidade de milionário sendo que a gente tem de pobres no brasil então se a gente taxar todos os pobres vai ter mais lucro para o nosso governo do que se a gente taxar todos os ricos então vamos aumentar o imposto não dá nada o brasileiro só vai dar a reclamada no começo mas depois eles param de encher o saco entendeu a gente pode aumentar um pouco o imposto das carnes o brasileiro pode comer fígado pé de galinha uma asinha esses daí não vão subir tanto como nosso presidente falou infelizmente o grosso está entrando e se não tiver condições para comprar uma carne compre uma abóbora e a vida segue eu e lula falamos sobre vários assuntos expus a ele a situação da reforma tributária o estado da arte o que está para ser decidido pela câmara agora em caráter definitivo também tratamos das questões das medidas fiscais e alguns projetos das reformas microeconômicas que precisam ser votados em série nesta semana alterações perceptíveis na movimentação labial e discrepâncias no timbre de voz típicas de conteúdos forjados com o uso de inteligência artificial generativa veja outras checagens feitas pela equipe do fato ou fake adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
É #FAKE que Trump voltou a considerar proibição de voos do Brasil para os EUA; vídeo é de 2020,veja outras checagens feitas pela equipe do fato ou fake adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
É #FAKE página que imita g1 e fornece link para cadastro no programa Voa Brasil,últimos dias para se cadastrar no programa voa brasil veja como participar programa oferece passagens aéreas com preços reduzidos para brasileiros o programa voa brasil está em seus últimos dias de inscrição esta é uma oportunidade única para brasileiros viajarem pelo país com passagens aéreas a preços reduzidos não é cobrada qualquer taxa para cadastro ou adesão ao programa forneçam dados pessoais ou realize pagamentos em sites ou links não oficiais o programa se chama voa brasil e já está disponível para se cadastrar é só acessar o site que vamos deixar aqui embaixo desse vídeo informar seus dados e pagar a taxa de adesão da agência nacional de aviação civil e aí o acesso ao aplicativo já vai ser liberado e o cidadão já poderá comprar até quatro passagens e está ameaçando o financiamento por apenas r o programa se chama voa brasil e já está disponível o primeiro estágio do programa terá como foco atender aposentados que ganham até dois salários mínimos veja outras checagens feitas pela equipe do fato ou fake adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
"É #FAKE que, a partir de janeiro de 2025, quem dirige carro automático precisa mudar carteira de motorista",a partir de janeiro de quem dirige carro automático terá que ter a carteira nacional de habilitação cnh na categoria b adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
É #FAKE que bancos deverão limitar saques em espécie a partir do segundo semestre,bancos deverão limitar saques em espécie a partir do segundo semestre limite mensal para saques será de mil reais para pessoas físicas e até mil reais para pessoas jurídicas governo alega que é pra evitar evasão fiscal veja outras checagens feitas pela equipe do fato ou fake adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
É #FAKE que vídeo de alunos posando com merenda para foto e devolvendo sem comer seja na Venezuela,na venezuela nenhum estudante passa fometodos têm lancheas fotos estão aí para provar na venezuela de maduro e lula nenhum estudante passa fometodos tem lancheas fotos estão aí para provar canalhas enquanto isso na venezuela de maduro já apodrecido pela corrupção e logo logo lularapis corruptandis implantará no brasil nenhum estudante passa fometodos terão um prato de comida bem generoso as fotos estão aí para provar veja outras checagens feitas pela equipe do fato ou fake adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
É #FAKE vídeo que mostra Marcos Mion anunciando promoção do Outback; trata-se de um golpe,rodízio outback para duas pessoas por apenas r em comemoração aos anos do outback você pode aproveitar um rodízio para dois por um preço incrível isso mesmo que você está vendo até algumas sobremesas estão inclusas olha essa costela suculenta nova no cardápio te esperando ficou com água na boca né tá esperando o quê clique em saiba mais e aproveite eu tô muito dentro voltar para o início veja imagem abaixo voltar para o início a assessoria jurídica de marcos mion representada por seu advogado pedro fida vem a público esclarecer informações falsas que têm circulado nas redes sociais envolvendo a imagem do apresentador e uma suposta campanha publicitária do restaurante outback que inclui um voucher promocional de rodízio tratase de um vídeo falso e manipulado no qual o áudio foi alterado de forma intencional para uma promoção inexistente reiteramos que essa suposta campanha não possui qualquer relação com ações ou publicidades oficiais realizadas por marcos mion orientamos o público a desconsiderar e não compartilhar esse tipo de material e reforçamos que medidas legais já estão sendo tomadas para identificar e responsabilizar os responsáveis pela criação e divulgação desse conteúdo reafirmamos nosso compromisso com a transparência e a verdade qualquer iniciativa ou campanha vinculada ao nome de marcos mion será sempre anunciada por canais oficiais e confiáveis agradecemos a compreensão voltar para o início o outback steakhouse alerta permanentemente os consumidores sobre golpes que se utilizam do nome da marca para divulgar promoções inexistentes nas redes sociais sempre preocupado com a segurança e proteção dos consumidores a marca está trabalhando para derrubar os perfis e sites falsos além de reforçar esse alerta para os clientes a marca reitera que utiliza apenas os canais oficiais para comunicar benefícios e promoções como o site oficial e os perfis nas redes sociais que são outbackbrasil no instagram facebook x e threads e outbackbrasil no tiktok os perfis são identificados com o selo de verificação azul é importante esclarecer que o outback steakhouse não solicita códigos senhas ou transações via pix os pagamentos via pix acontecem apenas dentro dos restaurantes nunca pela internet para verificar a autenticidade de qualquer comunicação o outback orienta que os clientes entrem em contato através do fale conosco no site oficial voltar para o início veja outras checagens feitas pela equipe do fato ou fake adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
"É #FAKE que o Drex, a moeda digital brasileira, vai acabar com o dinheiro físico e visa aumentar controle social",a maldade do drex o drex está sendo vendido como revolução no sistema financeiro nível pix que vai acabar com o dinheiro físico mas eles só esqueceram de te avisar que o drex vai servir como a maior ferramenta de controle social da história e ainda por cima será possível aplicar uma data de vencimento para o seu dinheiro em outras palavras você vai ter que gastar todo o seu dinheiro em determinado período não vai poder poupar e também haverá uma restrição no que pode ser gasto eles estão até atrelando o drex a um selo de verificação de fake news ou seja com o selinho do drex de disseminador de fake news o sistema será capaz de excluir as pessoas não apenas do debate público mas da vida em sociedade uma morte civil digital “só vai poder comprar e vender quem tiver o selinho woke até o dinheiro vai ficar submetido a determinadas ideologias tudo woke voltar para o início o drex atualmente é um piloto e ainda não há uma data específica para o seu lançamento no estágio atual as instituições participantes testam casos de negócios que têm o potencial de se beneficiar do drex os testes são realizados em ambiente simulado sem envolver movimentações reais não há planos de descontinuidade ou substituição do dinheiro físico a agenda de inovação do bc visa o aumento da segurança da eficiência e da inclusão no sfn sistema financeiro nacional as diretrizes do drex não objetivam controle restrição de uso ou discriminação tampouco há previsão de data de expiração para a utilização de recursos no drex a ênfase do drex é no desenvolvimento de modelos inovadores com a incorporação de tecnologias garantemse ainda os princípios e regras de privacidade e segurança previstos na lei brasileira em especial na lei do sigilo bancário e na lgpd lei geral de proteção de dados pessoais não há desenvolvimento no drex de selo de verificação de fake news para exclusão de pessoas voltar para o início compare nas duas imagens abaixo voltar para o início voltar para o início veja outras checagens feitas pela equipe do fato ou fake adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
É #FAKE página que imita a globo.com e simula entrevista com Rubens Menin,adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
É #FAKE vídeo com imagens aéreas que mostram prédios pegando fogo em Los Angeles,momento assustador em los angeles califórnia enquanto grande incêndio destrói a cidade veja abaixo veja abaixo veja abaixo veja abaixo veja outras checagens feitas pela equipe do fato ou fake adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
É #FAKE que o governo federal estuda taxa ambiental veicular,governo estuda taxa ambiental veicular governo anuncia nova taxa ambiental para veículos com mais de anos de uso adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
É #FAKE que diretor do Hospital das Clínicas deu dicas de como evitar gripe e que Tamiflu é feito de erva-doce,diretor do hc hospital das clínicas preocupado com a nova gripe faz as seguintes recomendações fazer do álcool gel o nossso aliado começar a tomar vitamina c urgente cuidar das crianças lavar as mãos muitas vezes ao dia evitar locais onde haja multidão tomar vitamina c comer fígado de boi ingerir sucos de acerola e laranja tomar chá de ervadoce duas vezes ao dia o chá de ervadoce tem a mesma substância que o medicamento tamiflu o remédio usado para tratar a gripe a hn aconselhase tomar o chá como se fosse café após as refeições um infectologista do hospital são domingos recomenda tomar de em horas o chá de erva doce pois ele mata o vírus da influenza é da ervadoce que é feito o tamiflu repasse para seus famíliares e amigos pois é muito importante o hcfmusp esclarece que o texto que recorrentemente circula nas redes sociais no qual supostamente a diretoria clínica do hospital faz um alerta sobre a gripe nunca foi divulgado pela instituição o medicamento tamiflu® desenvolvido pela roche é composto por fosfato de oseltamivir – princípio ativo que consta em bula aprovada no brasil pela agência nacional de vigilância sanitária anvisa – além de alguns excipientes que são substâncias complementares à massa ou volume especificados em produtos farmacêuticos deste modo não há na composição de tamiflu® o anis estrelado ou a ervadoce veja outras checagens feitas pela equipe do fato ou fake adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
É #FAKE vídeo que mostra ondas gigantes no Uruguai em post com alerta de tsunami,atenção uruguai muitas possibilidades de tsunami uma tragédia se aproxima de nosso país vizinho atentos veja ou tras checagens feitas pela equipe do fato ou fake adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
Título não encontrado,nenhum texto em itálico encontrado
É #FAKE que onça atacou cavalo em Campinas em janeiro de 2025,adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito velja mais notícias de campinas e região
É #FAKE vídeo em que Haddad fala em cobrar impostos sobre pets e grávidas,nosso plano é taxar tudo tudo neste ano teremos imposto do cachorrinho de estimação se ele é da família temos que arrecadar sobre ele também é justo imposto prénatal ficou grávida já tem que começar a pagar imposto para o hospital imposto das bets se perdeu o prejuízo é seu se ganhar o lucro é nosso mas é tudo para o bem do nosso povo brasileiro gosta de um imposto novo também né todo mundo sabe imposto e big brother é a nossa paixão veja outras checagens feitas pela equipe do fato ou fake adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
É #FAKE que a Receita Federal esteja cobrando imposto do PIX para quem recebe mais de R$ 5 mil; golpe envia boleto falso a vítimas,leia detalhes abaixo bom dia sr neuso você foi taxado por usar mais de mil reais no pix neste mês para evitar o bloqueio total do seu cpf pague o boleto à seguir no valor de r vocês viram essa nova palhaçada do governo de colocar imposto de renda pra quem receber r mil no pix ou no cartão de crédito eu estava ouvindo um rapaz falar que passando de r mil quem faz pix de transação vai começar a pagar imposto vai ter de declarar só pra lembrar quem movimentar mil reais no cartão ou no pix vai pagar imposto hein fazuele a receita federal baixou normativa segundo o que se pagará imposto sobre pix cujo montante soma passe de r por mês pega em cheio a gente pobre que trabalha vendendo pipoca sanduíche picolé já não bastaram os impostos sobre shein e shoppe resta a este povo fazer o novamente o l em voltar ao início voltar ao início vocês viram essa nova palhaçada do governo de colocar imposto de renda pra quem receber r mil no pix ou no cartão de crédito eu estava ouvindo um rapaz falar que passando de r mil quem faz pix de transação vai começar a pagar imposto vai ter de declarar só pra lembrar quem movimentar mil reais no cartão ou no pix vai pagar imposto hein fazuele a receita federal baixou normativa segundo o que se pagará imposto sobre pix cujo montante soma passe de r por mês pega em cheio a gente pobre que trabalha vendendo pipoca sanduíche picolé já não bastaram os impostos sobre shein e shoppe resta a este povo fazer o novamente o l em voltar ao início adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
É #FAKE que incêndio na Califórnia atingiu o famoso letreiro de Hollywood,lendário letreiro de hollywood está cercado por fogo veja abaixo uma dessas imagens veja abaixo duas dessas imagens veja a imagem a seguir veja outras checagens feitas pela equipe do fato ou fake adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
É #FAKE página que imita site do governo federal e promete saque de R$ 7 mil,adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
É #FAKE que spray de alga trate ou previna disfunção erétil,revolucionário sexóloga aprova spray de alga pra tratar disfunção erétil e ameaça quebrar indústria farmacêutica voltar para o início voltar para o início voltar para o início voltar para o início adicione nosso número de whatsapp após adicionar o número mande uma saudação para ser inscrito
